4.1.1.50	TMUE_1000003104
3.2.1.130	TMUE_2000009592
3.5.3.18	TMUE_3000013743
1.2.4.2	TMUE_3000011556
3.1.1.1	TMUE_2000010708
6.1.1.4	TMUE_2000010451,TMUE_1000003622
2.4.1.222	TMUE_3000011536
3.1.1.89	TMUE_2000008081
2.1.1.221	TMUE_3000011638
2.7.1.20	TMUE_3000011569
1.6.2.4	TMUE_2000007143
3.1.2.6	TMUE_3000013141
2.7.1.78	TMUE_2000007019
2.1.1.356	TMUE_2000009984
4.2.1.11	TMUE_1000005074
1.4.3.5	TMUE_2000006825
6.1.1.6	TMUE_3000014117
6.3.1.2	TMUE_3000014431
2.3.2.8	TMUE_2000007046
3.1.1.23	TMUE_2000006401
4.2.1.47	TMUE_3000014686
2.7.7.13	TMUE_3000014499
1.1.1.40	TMUE_0000001488,TMUE_3000011970
2.8.2.20	TMUE_2000009272
1.8.1.4	TMUE_3000013995
2.7.9.3	TMUE_2000009809
1.3.8.7	TMUE_3000011831
1.5.1.3	TMUE_1000003854
2.7.1.36	TMUE_2000007286
2.8.1.7	TMUE_2000009391
6.5.1.1	TMUE_3000011648
4.1.1.36	TMUE_2000007748
5.1.3.17	TMUE_1000003756
4.4.1.17	TMUE_3000012990
4.6.1.2	TMUE_1000003751
2.4.1.135	TMUE_3000014756,TMUE_0000001286
2.7.7.102	TMUE_2000006357
2.3.1.258	TMUE_2000009641
6.3.1.14	TMUE_3000013558
2.4.2.12	TMUE_1000004313
2.6.1.13	TMUE_2000010672
3.1.1.7	TMUE_3000012587
3.2.1.24	TMUE_3000012331
5.1.3.2	TMUE_1000003636
1.5.1.34	TMUE_2000009319
1.8.3.1	TMUE_3000013065
1.3.1.89	TMUE_3000012162
7.2.2.8	TMUE_2000009963
3.1.3.9	TMUE_2000007014
2.3.1.61	TMUE_3000012043
2.3.1.4	TMUE_3000011957
2.4.1.11	TMUE_2000006700
2.3.1.6	TMUE_3000011467
2.7.7.9	TMUE_3000014493
6.4.1.3	TMUE_3000011539
3.6.1.23	TMUE_3000014951
3.1.3.11	TMUE_2000007462
2.7.1.108	TMUE_1000003914
3.5.2.9	TMUE_3000011856
6.3.4.2	TMUE_2000009354
3.2.2.3	TMUE_3000014094
