Gene name	Brugia malayi (PRJNA10729) [WS285] protein stable ID	Homology type
TMUE_2000006920		
TMUE_2000006919		
TMUE_2000009287		
TMUE_2000006916	Bm13746.1	ortholog_one2many
TMUE_2000006915		
TMUE_2000009739	Bm7343.1	ortholog_one2one
TMUE_2000007342	Bm6665.1	ortholog_one2many
TMUE_2000007341		
TMUE_2000009738		
TMUE_2000007340		
TMUE_2000009737	Bm14045.1	ortholog_one2one
TMUE_2000007338		
TMUE_2000007335		
TMUE_2000009734		
TMUE_2000008892		
TMUE_2000008891		
TMUE_2000006564		
TMUE_2000006563		
TMUE_2000006562	Bm7612.1	ortholog_one2one
TMUE_2000008890		
TMUE_2000006561		
TMUE_2000006560		
TMUE_2000006558		
TMUE_2000006557		
TMUE_2000008885	Bm5042.1	ortholog_one2one
TMUE_2000008884		
TMUE_2000008882	Bm6513.1	ortholog_one2one
TMUE_2000006556	Bm14028.1	ortholog_one2one
TMUE_2000006555	Bm5034.1	ortholog_one2one
TMUE_2000008881		
TMUE_2000008880		
TMUE_2000008879		
TMUE_2000008878		
TMUE_2000008877		
TMUE_2000006554		
TMUE_2000006553	Bm18595.1	ortholog_one2one
TMUE_2000008876	Bm6224a.1	ortholog_one2one
TMUE_2000006552		
TMUE_2000006550		
TMUE_2000006549		
TMUE_2000008872	Bm5613.1	ortholog_one2one
TMUE_2000006548	Bm6603.1	ortholog_one2one
TMUE_2000008871		
TMUE_2000008870		
TMUE_2000006547		
TMUE_2000008869		
TMUE_2000006545		
TMUE_2000006544		
TMUE_2000008866		
TMUE_2000006543		
TMUE_2000008865		
TMUE_2000006542		
TMUE_2000008864		
TMUE_2000006541		
TMUE_2000008863		
TMUE_2000006540		
TMUE_2000006539		
TMUE_2000006538	Bm14056.1	ortholog_one2one
TMUE_2000008862	Bm5892.1	ortholog_one2one
TMUE_2000008861	Bm8482.1	ortholog_one2many
TMUE_2000008861	Bm18064a.1	ortholog_one2many
TMUE_3000012168	Bm6987.1	ortholog_one2many
TMUE_2000008860		
TMUE_2000008858	Bm2894a.1	ortholog_one2one
TMUE_2000006536		
TMUE_2000008856	Bm3778a.1	ortholog_one2one
TMUE_2000008855	Bm3265b.1	ortholog_one2one
TMUE_2000006534	Bm5100b.1	ortholog_one2many
TMUE_2000008851		
TMUE_1000004640	Bm12873b.1	ortholog_one2many
TMUE_1000002877		
TMUE_1000002878		
TMUE_1000004641		
TMUE_1000002879		
TMUE_1000002880	Bm12611.1	ortholog_one2one
TMUE_1000002881	Bm6623.1	ortholog_one2one
TMUE_1000002882	Bm9737a.1	ortholog_one2one
TMUE_1000004643		
TMUE_1000004645		
TMUE_2000010113		
TMUE_2000010114		
TMUE_2000010115		
TMUE_2000007683		
TMUE_2000010116		
TMUE_2000010117		
TMUE_2000007684		
TMUE_2000007691		
TMUE_2000007692	Bm17382.1	ortholog_one2many
TMUE_2000007693	Bm17382.1	ortholog_one2many
TMUE_2000007694	Bm8294.1	ortholog_one2many
TMUE_2000007694	Bm5691b.1	ortholog_one2many
TMUE_2000007694	Bm14098.1	ortholog_one2many
TMUE_2000010121	Bm1959b.1	ortholog_one2one
TMUE_2000007695	Bm4638a.1	ortholog_one2one
TMUE_2000007697		
TMUE_2000007698		
TMUE_2000007699		
TMUE_2000007700		
TMUE_2000010122		
TMUE_2000007702		
TMUE_2000007704	Bm5275a.1	ortholog_one2one
TMUE_2000007705		
TMUE_2000007706	Bm6798.1	ortholog_one2one
TMUE_2000010125	Bm6153.1	ortholog_one2one
TMUE_2000007707		
TMUE_2000010126		
TMUE_2000010127		
TMUE_2000007711		
TMUE_2000007712		
TMUE_2000010128		
TMUE_2000007714	Bm6536a.1	ortholog_one2one
TMUE_2000010129		
TMUE_2000007715		
TMUE_2000010131	Bm14318b.1	ortholog_one2many
TMUE_2000010133		
TMUE_2000007716		
TMUE_2000007717	Bm16938.1	ortholog_one2many
TMUE_2000010134	Bm3237d.1	ortholog_one2one
TMUE_2000010135	Bm17265.1	ortholog_one2many
TMUE_2000010135	Bm17471.1	ortholog_one2many
TMUE_2000010135	Bm17077.1	ortholog_one2many
TMUE_2000010135	Bm11210.1	ortholog_one2many
TMUE_2000010135	Bm17464.1	ortholog_one2many
TMUE_2000010135	Bm17470.1	ortholog_one2many
TMUE_2000010135	Bm17364.1	ortholog_one2many
TMUE_2000010135	Bm17463.1	ortholog_one2many
TMUE_2000010135	Bm17465.1	ortholog_one2many
TMUE_2000010135	Bm17472b.1	ortholog_one2many
TMUE_2000007722		
TMUE_2000007723	Bm7074a.1	ortholog_one2one
TMUE_2000010138	Bm17080.1	ortholog_one2one
TMUE_2000010139		
TMUE_2000010141	Bm6846.1	ortholog_one2one
TMUE_2000010142	Bm4347.1	ortholog_many2many
TMUE_2000010144		
TMUE_2000010145	Bm11332.1	ortholog_one2one
TMUE_2000010146	Bm6954.1	ortholog_one2one
TMUE_2000010147	Bm4477a.1	ortholog_one2one
TMUE_3000011633		
TMUE_3000011634	Bm4965.1	ortholog_one2one
TMUE_3000013790	Bm6168.1	ortholog_one2one
TMUE_3000011636	Bm7395.1	ortholog_one2one
TMUE_3000013791	Bm1956.1	ortholog_one2one
TMUE_3000013793	Bm4159.1	ortholog_one2many
TMUE_3000013794	Bm4325.1	ortholog_one2many
TMUE_3000011637		
TMUE_3000011638	Bm14004.1	ortholog_one2one
TMUE_3000011639		
TMUE_3000011641		
TMUE_3000013796	Bm11019.1	ortholog_many2many
TMUE_3000013796	Bm4394.1	ortholog_many2many
TMUE_3000011642	Bm6911a.1	ortholog_one2one
TMUE_3000011643	Bm15493.2	ortholog_one2one
TMUE_3000013797	Bm4626a.1	ortholog_one2one
TMUE_0000001332		
TMUE_3000013798		
TMUE_3000013941		
TMUE_3000011794		
TMUE_3000012835		
TMUE_3000011795	Bm3844.1	ortholog_many2many
TMUE_3000011795	Bm3503.1	ortholog_many2many
TMUE_3000011795	Bm6283.1	ortholog_many2many
TMUE_3000013943	Bm6061.1	ortholog_one2many
TMUE_3000013943	Bm17473.1	ortholog_one2many
TMUE_3000013943	Bm10653.1	ortholog_one2many
TMUE_3000013943	Bm2684.1	ortholog_one2many
TMUE_3000013944	Bm3102a.1	ortholog_one2one
TMUE_3000013945	Bm3322.1	ortholog_one2one
TMUE_3000013946		
TMUE_3000011796	Bm18158a.1	ortholog_one2one
TMUE_3000011797	Bm2027.1	ortholog_one2one
TMUE_3000011798		
TMUE_3000013948	Bm5651a.1	ortholog_one2many
TMUE_3000013949	Bm5349a.1	ortholog_one2one
TMUE_3000013950		
TMUE_3000011800		
TMUE_3000013951		
TMUE_3000013952		
TMUE_3000013953		
TMUE_3000013954		
TMUE_3000011802		
TMUE_3000013956	Bm1676a.1	ortholog_one2one
TMUE_3000011804	Bm13814.1	ortholog_one2one
TMUE_3000011805	Bm7752.1	ortholog_one2one
TMUE_3000013960	Bm4324.1	ortholog_one2one
TMUE_3000011806	Bm3065.1	ortholog_one2one
TMUE_3000011807		
TMUE_3000011808	Bm2224.1	ortholog_one2one
TMUE_3000011809		
TMUE_3000013962	Bm4025.1	ortholog_one2one
TMUE_3000011810		
TMUE_3000013963		
TMUE_3000011811		
TMUE_3000011812	Bm1833.1	ortholog_one2one
TMUE_3000013965	Bm3324a.1	ortholog_one2one
TMUE_3000011814	Bm3306.1	ortholog_one2one
TMUE_3000013966	Bm7030b.1	ortholog_one2one
TMUE_3000011816		
TMUE_3000011817	Bm1789a.1	ortholog_one2many
TMUE_3000011818	Bm4509.1	ortholog_one2one
TMUE_3000013967	Bm10457.1	ortholog_one2one
TMUE_3000013968		
TMUE_3000011820	Bm5600.1	ortholog_one2one
TMUE_3000013969		
TMUE_3000013970	Bm5441b.1	ortholog_one2one
TMUE_3000013971	Bm13834.1	ortholog_one2one
TMUE_3000011821		
TMUE_3000013972	Bm3095b.1	ortholog_one2one
TMUE_3000011822	Bm11432a.1	ortholog_one2one
TMUE_3000011823	Bm4235.1	ortholog_one2one
TMUE_3000013973		
TMUE_3000011824	Bm5358c.1	ortholog_one2one
TMUE_3000011825		
TMUE_3000013974		
TMUE_3000011826		
TMUE_3000013975		
TMUE_3000013977	Bm2116.1	ortholog_one2one
TMUE_3000013978	Bm13999.1	ortholog_one2one
TMUE_3000011828	Bm14333.1	ortholog_one2many
TMUE_3000011829		
TMUE_3000011831	Bm6014.1	ortholog_one2one
TMUE_3000011832	Bm2874a.1	ortholog_many2many
TMUE_3000011832	Bm3206a.1	ortholog_many2many
TMUE_3000011832	Bm8720.1	ortholog_many2many
TMUE_3000013980		
TMUE_3000011833	Bm3812.1	ortholog_one2one
TMUE_3000013981	Bm3144b.1	ortholog_one2one
TMUE_3000013982		
TMUE_3000011834		
TMUE_3000011835	Bm3761.1	ortholog_one2one
TMUE_3000011836	Bm5286a.1	ortholog_one2one
TMUE_3000011837		
TMUE_3000011838	Bm7027.1	ortholog_many2many
TMUE_3000011838	Bm3708.1	ortholog_many2many
TMUE_3000011839		
TMUE_3000013983	Bm9954.1	ortholog_many2many
TMUE_3000013983	Bm7031.1	ortholog_many2many
TMUE_3000011840		
TMUE_3000011841	Bm418a.1	ortholog_one2many
TMUE_3000013984		
TMUE_3000013985		
TMUE_3000013986	Bm14087b.1	ortholog_one2one
TMUE_3000011843		
TMUE_0000000202		
TMUE_0000000201		
TMUE_0000000200		
TMUE_0000000156		
TMUE_0000000154		
TMUE_0000000199	Bm3004a.1	ortholog_one2many
TMUE_1000003669	Bm3392a.1	ortholog_one2one
TMUE_1000005409		
TMUE_1000005410	Bm7183.1	ortholog_one2one
TMUE_1000003671		
TMUE_1000005411		
TMUE_1000005412		
TMUE_1000003672		
TMUE_1000003673	Bm3470.1	ortholog_one2many
TMUE_1000005413		
TMUE_1000003674		
TMUE_1000005414		
TMUE_1000003675		
TMUE_1000005415	Bm4139.1	ortholog_one2one
TMUE_1000003676		
TMUE_1000005416	Bm7786.1	ortholog_many2many
TMUE_1000005416	Bm3375.1	ortholog_many2many
TMUE_1000003677	Bm5252.1	ortholog_one2one
TMUE_1000005417	Bm7012a.1	ortholog_one2one
TMUE_1000003678		
TMUE_1000003680		
TMUE_1000003681		
TMUE_1000003682	Bm14070.1	ortholog_one2one
TMUE_1000005421		
TMUE_1000003683		
TMUE_1000005424	Bm5102.1	ortholog_one2one
TMUE_1000005426	Bm6969a.1	ortholog_one2one
TMUE_1000005427		
TMUE_1000003684	Bm7750a.1	ortholog_one2one
TMUE_1000005428		
TMUE_1000003685		
TMUE_1000003686	Bm14015a.1	ortholog_one2one
TMUE_1000005429	Bm4404b.1	ortholog_one2one
TMUE_1000003688	Bm4597.1	ortholog_one2one
TMUE_1000005430		
TMUE_1000003689		
TMUE_1000005431	Bm16889.1	ortholog_one2one
TMUE_1000005432		
TMUE_1000003690		
TMUE_1000003691	Bm3548.1	ortholog_many2many
TMUE_1000005433		
TMUE_1000005434	Bm7246a.1	ortholog_one2one
TMUE_1000005435		
TMUE_1000005436		
TMUE_1000005438	Bm6003.1	ortholog_many2many
TMUE_1000005440	Bm3572.1	ortholog_one2many
TMUE_1000003694		
TMUE_1000003697		
TMUE_1000005442	Bm4316a.1	ortholog_one2many
TMUE_1000005442	Bm1023.1	ortholog_one2many
TMUE_1000005443		
TMUE_1000003699		
TMUE_1000005444	Bm3500b.1	ortholog_one2one
TMUE_1000005445	Bm13687b.1	ortholog_one2one
TMUE_1000005446		
TMUE_1000003700	Bm2601a.1	ortholog_one2one
TMUE_1000005447		
TMUE_1000003701	Bm4782a.1	ortholog_one2many
TMUE_1000005448		
TMUE_1000003702		
TMUE_1000003703		
TMUE_1000005450		
TMUE_1000005451		
TMUE_1000003704		
TMUE_1000005452		
TMUE_1000005453		
TMUE_1000005454	Bm3519b.1	ortholog_one2one
TMUE_1000003705	Bm13749.1	ortholog_one2one
TMUE_1000003706		
TMUE_1000003707	Bm13741.1	ortholog_one2one
TMUE_1000005455	Bm10999.1	ortholog_one2one
TMUE_1000003709	Bm1971a.1	ortholog_one2one
TMUE_1000005456		
TMUE_1000005457		
TMUE_1000003710	Bm2738a.1	ortholog_one2one
TMUE_1000003711	Bm2374.1	ortholog_one2one
TMUE_1000003712		
TMUE_1000003713	Bm1685b.1	ortholog_one2one
TMUE_1000003714		
TMUE_1000003715		
TMUE_1000005458		
TMUE_1000005459		
TMUE_1000005460	Bm9427a.1	ortholog_one2one
TMUE_1000005461	Bm2763a.1	ortholog_one2many
TMUE_1000005568	Bm1839.1	ortholog_one2one
TMUE_1000005567		
TMUE_1000003835	Bm4498.1	ortholog_one2many
TMUE_1000003834	Bm2997a.1	ortholog_one2one
TMUE_1000005566		
TMUE_1000005565	Bm2424.1	ortholog_one2one
TMUE_1000003832	Bm7088.1	ortholog_many2many
TMUE_1000003832	Bm8557a.1	ortholog_many2many
TMUE_1000003832	Bm7089.1	ortholog_many2many
TMUE_1000003831		
TMUE_1000005562		
TMUE_1000003830		
TMUE_1000003829	Bm6759.1	ortholog_one2one
TMUE_1000005561		
TMUE_1000003827	Bm3009.1	ortholog_one2one
TMUE_1000005560		
TMUE_1000005559	Bm3931b.1	ortholog_one2one
TMUE_1000003826	Bm12345.1	ortholog_one2one
TMUE_1000003825	Bm2515b.1	ortholog_one2one
TMUE_1000003824	Bm3516.1	ortholog_one2one
TMUE_1000005553	Bm5629b.1	ortholog_one2one
TMUE_1000003823	Bm2900b.1	ortholog_one2one
TMUE_1000005552	Bm5984.2	ortholog_one2one
TMUE_1000003821		
TMUE_1000005551		
TMUE_1000003820		
TMUE_1000005550		
TMUE_1000003819	Bm13951a.1	ortholog_one2one
TMUE_1000003818		
TMUE_1000003817		
TMUE_1000005549	Bm5679a.1	ortholog_one2one
TMUE_1000003816		
TMUE_1000003814	Bm3073.1	ortholog_one2many
TMUE_1000005548		
TMUE_1000003812	Bm18219.1	ortholog_one2one
TMUE_1000005545	Bm7047.1	ortholog_one2one
TMUE_1000003810		
TMUE_1000005543	Bm7618.1	ortholog_one2one
TMUE_1000003808	Bm3221.1	ortholog_one2one
TMUE_1000003807	Bm4607a.1	ortholog_one2one
TMUE_1000005540	Bm2674.2	ortholog_one2one
TMUE_1000003805	Bm4886.1	ortholog_one2one
TMUE_1000005539		
TMUE_1000003803		
TMUE_1000003802	Bm4964.1	ortholog_one2one
TMUE_1000005538		
TMUE_1000003801	Bm7659a.1	ortholog_one2one
TMUE_1000003800	Bm3157.1	ortholog_one2one
TMUE_1000003799		
TMUE_1000005537		
TMUE_1000003797	Bm12807.1	ortholog_one2one
TMUE_1000005535	Bm4849.1	ortholog_one2one
TMUE_1000003796		
TMUE_1000003795		
TMUE_1000005534		
TMUE_1000003794		
TMUE_1000003793	Bm3805.1	ortholog_one2one
TMUE_1000003792	Bm4268.1	ortholog_one2one
TMUE_1000005532		
TMUE_1000003791	Bm12863.1	ortholog_many2many
TMUE_1000003791	Bm3607b.1	ortholog_many2many
TMUE_1000003791	Bm9558d.1	ortholog_many2many
TMUE_1000003790	Bm11968.1	ortholog_one2one
TMUE_1000005287		
TMUE_1000003542	Bm2182a.1	ortholog_one2one
TMUE_1000005286	Bm3669.1	ortholog_one2one
TMUE_1000005285		
TMUE_1000005284	Bm4516.1	ortholog_many2many
TMUE_1000005283		
TMUE_1000003541	Bm13811.1	ortholog_one2one
TMUE_1000005282		
TMUE_1000003539		
TMUE_1000003538	Bm8223.1	ortholog_one2one
TMUE_1000003537		
TMUE_1000005278		
TMUE_1000005277	Bm13972a.1	ortholog_one2one
TMUE_1000005275		
TMUE_1000003536		
TMUE_1000003535	Bm9117.1	ortholog_one2one
TMUE_1000005272		
TMUE_1000003534		
TMUE_1000003533	Bm6876.1	ortholog_one2many
TMUE_1000005271	Bm6876.1	ortholog_one2many
TMUE_1000003532		
TMUE_1000005270		
TMUE_1000003529	Bm6137a.1	ortholog_one2one
TMUE_1000005268		
TMUE_1000005267	Bm7603.1	ortholog_one2one
TMUE_1000005266	Bm7088.1	ortholog_many2many
TMUE_1000005266	Bm8557a.1	ortholog_many2many
TMUE_1000005266	Bm7089.1	ortholog_many2many
TMUE_1000005265		
TMUE_1000005264		
TMUE_1000005263		
TMUE_1000005262		
TMUE_1000005260		
TMUE_1000003524	Bm6834.1	ortholog_one2one
TMUE_1000005259	Bm11424.1	ortholog_one2one
TMUE_1000003523	Bm10378.1	ortholog_one2one
TMUE_1000003522		
TMUE_1000003521	Bm4062b.1	ortholog_one2one
TMUE_1000005257		
TMUE_1000003519	Bm7244a.1	ortholog_one2one
TMUE_1000005256	Bm9680a.1	ortholog_one2one
TMUE_1000003518	Bm6412a.1	ortholog_one2many
TMUE_1000005255	Bm10349.1	ortholog_one2one
TMUE_1000003517	Bm14011.1	ortholog_one2one
TMUE_1000005254	Bm16940.1	ortholog_one2one
TMUE_1000003516		
TMUE_1000005253	Bm5438.1	ortholog_one2one
TMUE_1000003515		
TMUE_1000003514	Bm18600.1	ortholog_one2one
TMUE_1000005252		
TMUE_1000003513		
TMUE_2000006658	Bm3222.1	ortholog_one2many
TMUE_2000006657	Bm2320.1	ortholog_one2one
TMUE_2000009001		
TMUE_2000006656		
TMUE_2000006651		
TMUE_2000008999	Bm5829a.1	ortholog_one2many
TMUE_2000006650		
TMUE_2000006649		
TMUE_2000006648		
TMUE_2000006646		
TMUE_2000006645		
TMUE_2000008996		
TMUE_2000008990		
TMUE_2000008989		
TMUE_2000008988		
TMUE_3000010721		
TMUE_2000006642		
TMUE_2000006641		
TMUE_2000008987		
TMUE_2000008986		
TMUE_2000006346		
TMUE_0000002267		
TMUE_0000002268		
TMUE_2000008666		
TMUE_2000008664		
TMUE_2000008663	Bm7237a.1	ortholog_one2one
TMUE_2000008661	Bm4476c.1	ortholog_one2one
TMUE_2000008660	Bm3361.1	ortholog_one2one
TMUE_2000008659		
TMUE_2000006344		
TMUE_2000008658	Bm7469.1	ortholog_one2one
TMUE_2000006343	Bm4800a.1	ortholog_one2one
TMUE_2000008657		
TMUE_2000006342	Bm13695a.1	ortholog_one2one
TMUE_2000008656	Bm14048b.1	ortholog_one2one
TMUE_2000006341		
TMUE_2000008655		
TMUE_2000006340	Bm13797.1	ortholog_one2many
TMUE_2000008653		
TMUE_2000006339		
TMUE_2000008652		
TMUE_2000006338	Bm6641b.1	ortholog_one2one
TMUE_2000006337	Bm1884.1	ortholog_one2one
TMUE_2000008651		
TMUE_2000008650		
TMUE_2000008649	Bm12188.1	ortholog_one2one
TMUE_2000006336	Bm17320.1	ortholog_one2one
TMUE_2000008648		
TMUE_2000006335		
TMUE_2000008647	Bm14044a.1	ortholog_one2one
TMUE_2000006334	Bm12493.1	ortholog_many2many
TMUE_2000006334	Bm4031.1	ortholog_many2many
TMUE_2000006333	Bm8281.1	ortholog_one2many
TMUE_2000006333	Bm13774a.1	ortholog_one2many
TMUE_2000008646		
TMUE_2000008645		
TMUE_2000006332		
TMUE_2000006331	Bm5714a.1	ortholog_one2many
TMUE_2000008644	Bm7647.1	ortholog_one2one
TMUE_2000006330	Bm7289a.1	ortholog_one2one
TMUE_2000008643		
TMUE_2000006329	Bm7523.1	ortholog_one2many
TMUE_2000006328	Bm7666b.1	ortholog_one2many
TMUE_2000008641		
TMUE_2000008640	Bm1721.1	ortholog_one2one
TMUE_2000006326	Bm5814.1	ortholog_many2many
TMUE_2000006326	Bm6523a.1	ortholog_many2many
TMUE_2000006325	Bm5814.1	ortholog_many2many
TMUE_2000006325	Bm6523a.1	ortholog_many2many
TMUE_2000006324		
TMUE_2000008638	Bm4386b.1	ortholog_one2one
TMUE_2000008637		
TMUE_2000008636		
TMUE_2000006323		
TMUE_2000008635		
TMUE_2000006321	Bm7185.1	ortholog_one2one
TMUE_2000008634	Bm2334a.1	ortholog_one2one
TMUE_2000006320		
TMUE_2000006319		
TMUE_2000008632		
TMUE_2000006318	Bm7248.1	ortholog_one2one
TMUE_2000006317	Bm18101.1	ortholog_one2one
TMUE_2000008631	Bm10690a.1	ortholog_one2one
TMUE_2000008630		
TMUE_2000006315	Bm7450.1	ortholog_one2many
TMUE_2000008629	Bm5837.1	ortholog_one2one
TMUE_2000008628		
TMUE_2000008627		
TMUE_2000006312		
TMUE_2000008626	Bm4372b.1	ortholog_one2one
TMUE_2000006354	Bm7328.1	ortholog_one2one
TMUE_2000006352	Bm2770a.1	ortholog_one2one
TMUE_0000001330	Bm4858.1	ortholog_one2many
TMUE_0000001331		
TMUE_1000004037		
TMUE_1000005779		
TMUE_1000004036		
TMUE_1000004033		
TMUE_1000005778		
TMUE_1000004032		
TMUE_1000005776	Bm6395.1	ortholog_one2one
TMUE_1000005775		
TMUE_1000005772		
TMUE_1000004031		
TMUE_1000005771		
TMUE_1000005769	Bm8813.1	ortholog_one2one
TMUE_1000005768	Bm3755a.1	ortholog_many2many
TMUE_1000005768	Bm17626.1	ortholog_many2many
TMUE_1000004030		
TMUE_1000005766		
TMUE_1000004029	Bm3867a.1	ortholog_one2one
TMUE_1000004028		
TMUE_1000005764		
TMUE_2000010570		
TMUE_2000008155		
TMUE_2000008154		
TMUE_2000010567		
TMUE_2000008150	Bm5969a.1	ortholog_one2one
TMUE_2000010566	Bm4564.1	ortholog_one2one
TMUE_2000008149	Bm5977.1	ortholog_many2many
TMUE_2000010565	Bm3442a.1	ortholog_one2one
TMUE_2000008147		
TMUE_2000008146	Bm3054b.1	ortholog_one2one
TMUE_2000008145	Bm2671.1	ortholog_one2one
TMUE_2000008144		
TMUE_2000010564		
TMUE_2000010563	Bm5355.1	ortholog_one2one
TMUE_2000008143		
TMUE_2000008142	Bm5348.1	ortholog_one2many
TMUE_2000008142	Bm7115.1	ortholog_one2many
TMUE_2000010562		
TMUE_2000008141	Bm5411a.1	ortholog_one2one
TMUE_2000008140	Bm13382a.1	ortholog_one2many
TMUE_2000008140	Bm9146.1	ortholog_one2many
TMUE_2000008139	Bm6699.1	ortholog_one2many
TMUE_2000008139	Bm17255.1	ortholog_one2many
TMUE_2000010561	Bm2836c.1	ortholog_one2one
TMUE_2000008138		
TMUE_2000008137		
TMUE_2000010559		
TMUE_2000010555		
TMUE_2000008135		
TMUE_2000010554		
TMUE_2000010553		
TMUE_2000008134	Bm4561.1	ortholog_one2one
TMUE_2000010552	Bm7280.1	ortholog_one2one
TMUE_2000010551		
TMUE_2000008133	Bm6740.1	ortholog_one2one
TMUE_2000010550		
TMUE_2000010549		
TMUE_2000008132	Bm9855b.1	ortholog_one2one
TMUE_2000010547	Bm1931a.1	ortholog_one2many
TMUE_2000008130		
TMUE_2000008129	Bm10934b.1	ortholog_one2one
TMUE_2000010545		
TMUE_2000008128		
TMUE_2000008127		
TMUE_1000003138	Bm6685a.1	ortholog_one2one
TMUE_1000004904		
TMUE_0000000901		
TMUE_1000004927		
TMUE_1000003167	Bm3284.1	ortholog_one2one
TMUE_1000003166	Bm7044.1	ortholog_one2one
TMUE_1000004924	Bm6590.1	ortholog_many2many
TMUE_1000004924	Bm16888.1	ortholog_many2many
TMUE_1000004924	Bm6045a.1	ortholog_many2many
TMUE_1000004923	Bm1840.1	ortholog_one2one
TMUE_1000003164	Bm6799.1	ortholog_one2one
TMUE_1000003163		
TMUE_1000004921	Bm3944.1	ortholog_one2one
TMUE_1000003162	Bm4977a.1	ortholog_one2one
TMUE_1000004919		
TMUE_1000003159		
TMUE_1000003158		
TMUE_1000004918		
TMUE_1000003156	Bm1706a.1	ortholog_one2one
TMUE_1000003154		
TMUE_1000003153	Bm17558.1	ortholog_one2one
TMUE_1000003152	Bm4542a.1	ortholog_one2one
TMUE_1000004917	Bm1762a.1	ortholog_one2one
TMUE_1000004916		
TMUE_1000003150		
TMUE_1000003149	Bm3512a.2	ortholog_one2one
TMUE_1000004915		
TMUE_1000002627		
TMUE_1000002626	Bm7915.1	ortholog_one2one
TMUE_1000004409		
TMUE_1000004406		
TMUE_1000004405		
TMUE_1000004404		
TMUE_1000002625	Bm7980.1	ortholog_one2one
TMUE_1000004403	Bm3518.1	ortholog_one2one
TMUE_1000002623	Bm15a.1	ortholog_one2one
TMUE_1000002622	Bm5403.1	ortholog_one2one
TMUE_1000004402		
TMUE_1000004401	Bm7307.1	ortholog_one2one
TMUE_1000002617		
TMUE_1000004400	Bm4108.1	ortholog_one2one
TMUE_1000004398	Bm6584.1	ortholog_one2one
TMUE_1000004397	Bm1388a.1	ortholog_one2many
TMUE_1000004396		
TMUE_1000004395		
TMUE_1000002613		
TMUE_1000004393		
TMUE_1000004390	Bm6679a.1	ortholog_one2one
TMUE_1000002611		
TMUE_1000004389		
TMUE_1000004388		
TMUE_1000004386	Bm5858b.1	ortholog_one2one
TMUE_1000002608		
TMUE_1000002607	Bm13823.1	ortholog_one2one
TMUE_1000002606		
TMUE_1000004384		
TMUE_1000002605		
TMUE_1000002604		
TMUE_1000002602	Bm4140.1	ortholog_many2many
TMUE_1000004383		
TMUE_1000004382		
TMUE_1000002601	Bm6344a.1	ortholog_one2one
TMUE_1000004380	Bm5016.1	ortholog_one2one
TMUE_1000002600	Bm4719.1	ortholog_one2many
TMUE_1000004377		
TMUE_1000004376		
TMUE_1000004375		
TMUE_2000007944		
TMUE_1000004374	Bm5587.1	ortholog_one2one
TMUE_1000004372	Bm4129.1	ortholog_one2one
TMUE_3000012312		
TMUE_1000002591		
TMUE_1000002590		
TMUE_1000004371	Bm10285.1	ortholog_one2many
TMUE_1000004371	Bm3810.1	ortholog_one2many
TMUE_1000002589		
TMUE_1000002587		
TMUE_1000004368	Bm1813a.1	ortholog_one2one
TMUE_1000002585		
TMUE_1000004367		
TMUE_1000004366	Bm6076.1	ortholog_many2many
TMUE_1000004366	Bm2660.1	ortholog_many2many
TMUE_1000002584	Bm6076.1	ortholog_many2many
TMUE_1000002584	Bm2660.1	ortholog_many2many
TMUE_2000007075	Bm17897.1	ortholog_one2many
TMUE_2000009467		
TMUE_2000007078		
TMUE_2000009469		
TMUE_2000007081		
TMUE_2000009470	Bm4656a.1	ortholog_one2many
TMUE_2000007082		
TMUE_2000007083		
TMUE_2000009471		
TMUE_2000009472		
TMUE_2000009473		
TMUE_2000009475		
TMUE_2000007084		
TMUE_2000009476		
TMUE_2000009478		
TMUE_2000009481	Bm3664a.1	ortholog_one2one
TMUE_2000007088	Bm7157.1	ortholog_one2one
TMUE_2000007089		
TMUE_2000009482		
TMUE_2000009483	Bm13842c.1	ortholog_one2one
TMUE_2000009484	Bm4825a.1	ortholog_one2many
TMUE_2000009486	Bm2284.1	ortholog_one2one
TMUE_2000007091	Bm14116a.1	ortholog_one2one
TMUE_2000009487		
TMUE_2000007092		
TMUE_2000009488	Bm4055.1	ortholog_one2one
TMUE_2000007093		
TMUE_2000007094		
TMUE_2000007095		
TMUE_2000009490		
TMUE_2000009673		
TMUE_2000009721	Bm11044.1	ortholog_one2many
TMUE_2000009721	Bm5764.1	ortholog_one2many
TMUE_0000002042		
TMUE_0000002496		
TMUE_2000007322	Bm6753.1	ortholog_one2one
TMUE_2000007318	Bm6652a.1	ortholog_one2one
TMUE_2000009717	Bm7164.1	ortholog_one2one
TMUE_0000001786		
TMUE_0000001785	Bm755.1	ortholog_one2many
TMUE_2000007313	Bm4594.1	ortholog_one2one
TMUE_2000009714		
TMUE_2000009711		
TMUE_2000007309		
TMUE_2000009710		
TMUE_2000007308		
TMUE_2000009708		
TMUE_2000007304	Bm1943a.1	ortholog_one2one
TMUE_2000009707		
TMUE_3000013644		
TMUE_3000011509		
TMUE_3000013645		
TMUE_3000013646		
TMUE_2000009595	Bm12493.1	ortholog_many2many
TMUE_2000009595	Bm4031.1	ortholog_many2many
TMUE_2000009596		
TMUE_2000007201		
TMUE_2000007202	Bm3641b.1	ortholog_one2one
TMUE_2000009599		
TMUE_2000007203	Bm1720a.1	ortholog_one2one
TMUE_2000007204	Bm2430.1	ortholog_one2many
